keyword,seed_aliases,cluster,intent,target_market,existing_page_candidate,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,avg_monthly_searches,competition,competition_score,top_of_page_bid_low,top_of_page_bid_high,trend_score,competitor_strength,commercial_intent_score,conversion_fit_score,content_gap_score,opportunity_score,recommended_action,missing_data
customer asking for 8d report,customer asking for 8D report; customer requested 8D report,customer pressure intent,problem-aware,US,,,,,,,,,,,,,70,90,75,78,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
customer rejected my 8d report,customer rejected my 8D report; 8D report rejected by customer,customer rejection intent,problem-aware,US,,,,,,,,,,,,,70,90,75,78,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
online 8d report tool,online 8D report tool; create 8D report online; 8D report generator online; 8D report software,online tool intent,transactional,US,/signup,,,,,,,,,,,,85,90,35,70,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
alternative to excel 8d template,alternative to Excel 8D template; Excel 8D template alternative,Excel alternative intent,commercial,US,/resources/excel-8d-template-vs-8d-software,,,,,,,,,,,,85,80,35,67,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
ai 8d report generator,AI 8D report generator; AI tool for 8D report; AI 8D report checker,AI assistance intent,commercial,US,/resources/ai-8d-report-checker,,,,,,,,,,,,85,80,35,67,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
8d report excel template,8D report Excel template,Excel alternative intent,informational,US,/resources/excel-8d-template-vs-8d-software,,,,,,,,,,,,75,80,35,63,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
export 8d report to pdf,export 8D report to PDF,export / format intent,transactional,US,/learn/how-to-export-professional-8d-reports-in-pdf-word-and-excel,,,,,,,,,,,,85,70,35,63,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
8d report excel export,8D report Excel export,export / format intent,transactional,US,/help/export-pdf-word-excel-zip,,,,,,,,,,,,85,70,35,63,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
how to respond to a scar,how to respond to a SCAR; supplier corrective action request example; SCAR response template,SCAR intent,informational,US,/resources/supplier-corrective-action-request-template,,,,,,,,,,,,70,80,35,62,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
8d report word template,8D report Word template,export / format intent,informational,US,/learn/how-to-export-professional-8d-reports-in-pdf-word-and-excel,,,,,,,,,,,,75,70,35,60,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
root cause analysis template,root cause analysis template; 8D root cause analysis template,root cause / corrective action intent,informational,US,/resources/8d-root-cause-d4-guide,,,,,,,,,,,,60,70,35,55,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
corrective action report template,corrective action report template; 8D corrective action example,root cause / corrective action intent,informational,US,/resources/8d-corrective-action-d5-guide,,,,,,,,,,,,60,70,35,55,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
automotive 8d report example,automotive 8D report example,industry example intent,informational,US,/8d-report-example/automotive,,,,,,,,,,,,60,60,35,52,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
supplier 8d report example,supplier 8D report example,industry example intent,informational,US,/supplier-8d-report,,,,,,,,,,,,60,60,35,52,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
manufacturing 8d report example,manufacturing 8D report example,industry example intent,informational,US,/8d-report-template/manufacturing,,,,,,,,,,,,60,60,35,52,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
8d report template,8D report template,how-to writing intent,informational,US,/8d-report-template,,,,,,,,,,,,45,60,35,47,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
8d report example,8D report example,how-to writing intent,informational,US,/8d-report-example,,,,,,,,,,,,45,60,35,47,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
how to write an 8d report,how to write an 8D report,how-to writing intent,informational,US,/resources/how-to-write-8d-report-customer-complaint,,,,,,,,,,,,45,60,35,47,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
how to fill out an 8d report,how to fill out an 8D report,how-to writing intent,informational,US,/docs/edit-d0-d8,,,,,,,,,,,,45,60,35,47,collect_data_before_deciding,gsc;keyword_planner;google_trends;serp_review
